trial,s_trending,s_volatile,s_crash,sharpe,cagr,max_dd,cum_ret,kills
142,0.7385528206273885,1.0192906115076874,0.028615970076630193,0.8384,10.05,-22.08,82.29,0
143,1.3009638536416763,1.1133545162067364,0.3860541995521903,0.8492,14.8,-25.46,137.64,0
144,1.1981207839786372,1.0055762623864597,0.02007564977353321,0.8785,13.57,-23.31,122.04,0
145,0.7017821107190554,0.1499084151667717,0.25226549509649326,0.7616,6.29,-13.5,46.61,0
146,1.2451881283288446,0.7560142134916784,0.4255655498809675,0.8306,12.97,-22.47,114.79,0
147,0.6552129924410909,0.8815453103221939,0.09652074543445205,0.8391,8.9,-19.3,70.64,0
148,0.7707587513178003,0.8518856367375647,0.4901023924493409,0.7592,9.67,-21.19,78.4,0
149,1.1115436059770696,0.06540037798955471,0.3081544849637664,0.7397,9.01,-18.12,71.78,0
150,0.5423505515801671,1.0609748536401806,0.35478914255031035,0.7317,8.68,-22.9,68.47,0
151,0.6731278464225032,0.11006520698903767,0.09176661444015949,0.8003,5.87,-8.77,42.95,0
152,1.4800271795541926,0.5502727709501878,0.392040474170704,0.8231,13.84,-23.12,125.44,0
153,1.1364083421077769,0.6868957799503648,0.07256512733252485,0.8776,11.86,-17.89,101.91,0
154,1.446024453558095,0.3616111590176615,0.2890086079037711,0.8129,12.79,-19.93,112.69,0
155,1.1997759445890661,0.7790797862943707,0.4702972048477592,0.8189,12.7,-23.45,111.64,0
156,0.648438989920058,0.6100232861363305,0.20201719537038298,0.8446,7.8,-14.19,60.19,0
157,0.9741687294826181,0.14306103143729354,0.06704730493638267,0.801,8.3,-12.5,64.86,0
158,0.7780755457812574,0.36564552451299753,0.213951606840675,0.8351,7.81,-12.86,60.25,0
159,1.1109875470366282,0.7615549409019156,0.20590544829278512,0.869,12.01,-18.98,103.58,0
160,0.9087831094286971,0.26115423203635435,0.2941531242045041,0.7902,8.37,-16.26,65.5,0
161,0.8170409113172379,0.04327180113283644,0.2092000220784302,0.7429,6.7,-13.0,50.18,0
162,0.9741326750901703,0.2707114418450532,0.28622896656105784,0.7967,8.91,-16.49,70.72,0
163,1.0657719004319208,0.8424026173324456,0.323974241100605,0.8477,11.98,-20.08,103.32,0
164,1.1524330565210317,0.3794569821888517,0.39371611099297693,0.7934,10.7,-20.92,89.15,0
165,1.0491443835996794,0.5177018342158681,0.31300624047052855,0.8318,10.53,-17.82,87.35,0
166,0.8606573344502543,0.6152870935281098,0.36835284424111014,0.8118,9.48,-18.17,76.46,0
167,1.3864028867237077,1.10526863675423,0.2518164625915496,0.8702,15.43,-25.72,145.89,0
168,1.020275114740569,0.9598444929166037,0.15722534587210063,0.8689,12.08,-21.76,104.46,0
169,1.3373823623450685,0.592969975820908,0.057928362167634195,0.8644,12.96,-17.35,114.68,0
170,0.5720591470729437,1.0103918532473557,0.02778395845343895,0.8006,8.68,-21.9,68.53,0
171,0.7806114361336559,0.40095604860185496,0.0864972225957969,0.8686,7.95,-11.34,61.55,0
172,0.8138933698019892,0.8912310800701028,0.007341421780035384,0.8634,10.15,-19.68,83.34,0
173,1.3271734245206863,1.0278576282894698,0.1861307865957741,0.8753,14.69,-24.24,136.1,0
174,0.6536128990606348,0.721008489534097,0.05983627793244717,0.8625,8.25,-16.08,64.36,0
175,0.8649193610782525,1.150115017081167,0.49773223629181856,0.7722,11.53,-24.65,98.23,0
176,1.2721048913545856,0.3731538119049194,0.34383252458304625,0.8065,11.57,-20.29,98.67,0
177,1.2054063654840128,0.46541003419637966,0.3204443172930797,0.8252,11.48,-19.14,97.68,0
178,0.5107276449756762,0.25086919032268973,0.2625441514836306,0.7611,5.23,-12.46,37.69,0
179,0.6637513042582959,0.19908824145184037,0.41815214527511896,0.6837,6.19,-18.32,45.69,0
180,1.4891330026836056,0.667163313634138,0.4195348654408567,0.8305,14.4,-23.95,132.41,0
181,1.4903216643262724,0.16991506628252964,0.22412280662717554,0.7833,12.24,-18.63,106.25,0
