trial,s_trending,s_volatile,s_crash,sharpe,sortino,cagr,max_dd,cum_ret
138,0.028999503204469423,0.36124208706172056,0.0715109375833175,0.6456,0.9188,10.82,-33.53,90.48
139,0.7767679406922186,0.2973063408193468,0.45531911356544263,0.6683,0.9564,10.51,-30.46,87.14
140,0.6562690393274901,0.05424406574204432,0.0027149170643502307,0.6541,0.9344,10.87,-33.22,90.97
141,0.051657917014398924,0.9088877664715915,0.40074090542970764,0.6308,0.8966,10.03,-31.62,82.11
142,0.23855282062738847,1.2741132643846094,0.028615970076630193,0.5871,0.8323,9.36,-33.54,75.25
143,0.8009638536416762,1.3916931452584205,0.3860541995521903,0.597,0.8489,8.94,-30.84,71.1
144,0.6981207839786372,1.2569703279830746,0.02007564977353321,0.5854,0.8312,9.15,-33.08,73.18
145,0.20178211071905539,0.18738551895846461,0.25226549509649326,0.6659,0.9502,11.01,-32.3,92.54
146,0.7451881283288445,0.945017766864598,0.4255655498809675,0.6298,0.8977,9.64,-30.67,78.07
147,0.15521299244109088,1.1019316379027424,0.09652074543445205,0.6021,0.8542,9.67,-33.25,78.35
148,0.27075875131780025,1.064857045921956,0.4901023924493409,0.6262,0.8906,9.7,-30.84,78.73
149,0.6115436059770696,0.08175047248694339,0.3081544849637664,0.6716,0.9607,10.89,-31.51,91.22
150,0.042350551580167095,1.3262185670502258,0.35478914255031035,0.6012,0.8526,9.41,-31.89,75.76
151,0.17312784642250323,0.1375815087362971,0.09176661444015949,0.6593,0.9402,11.08,-33.25,93.28
152,0.9800271795541925,0.6878409636877347,0.392040474170704,0.6411,0.9157,9.85,-30.62,80.25
153,0.6364083421077769,0.858619724937956,0.07256512733252485,0.6146,0.8744,9.78,-32.84,79.55
154,0.9460244535580951,0.4520139487720769,0.2890086079037711,0.648,0.9261,10.18,-31.25,83.65
155,0.6997759445890661,0.9738497328679634,0.4702972048477592,0.6308,0.899,9.62,-30.46,77.91
156,0.148438989920058,0.762529107670413,0.20201719537038298,0.6292,0.8945,10.19,-32.65,83.72
157,0.4741687294826181,0.17882628929661692,0.06704730493638267,0.6536,0.9327,10.83,-33.06,90.55
158,0.27807554578125737,0.45705690564124696,0.213951606840675,0.6483,0.9238,10.58,-32.43,87.85
159,0.6109875470366283,0.9519436761273945,0.20590544829278512,0.6167,0.8774,9.68,-32.1,78.44
160,0.4087831094286971,0.32644279004544297,0.2941531242045041,0.6602,0.9424,10.7,-31.82,89.18
161,0.3170409113172379,0.05408975141604555,0.2092000220784302,0.6692,0.9559,11.11,-32.42,93.6
162,0.4741326750901703,0.3383893023063165,0.28622896656105784,0.6586,0.9402,10.64,-31.79,88.55
163,0.5657719004319209,1.053003271665557,0.323974241100605,0.6172,0.8782,9.56,-31.47,77.28
164,0.6524330565210316,0.47432122773606467,0.39371611099297693,0.6565,0.9378,10.36,-30.96,85.5
165,0.5491443835996794,0.6471272927698352,0.31300624047052855,0.6425,0.916,10.17,-31.55,83.55
166,0.3606573344502543,0.7691088669101374,0.36835284424111014,0.6384,0.9091,10.09,-31.45,82.72
167,0.8864028867237077,1.3815857959427875,0.2518164625915496,0.5892,0.8375,8.9,-31.53,70.67
168,0.5202751147405691,1.1998056161457546,0.15722534587210063,0.5981,0.8494,9.35,-32.49,75.12
169,0.8373823623450686,0.7412124697761351,0.057928362167634195,0.6193,0.8822,9.84,-32.7,80.1
170,0.0720591470729437,1.2629898165591946,0.02778395845343895,0.5882,0.8334,9.46,-33.73,76.24
171,0.2806114361336559,0.5011950607523188,0.0864972225957969,0.6383,0.9087,10.5,-33.16,86.97
172,0.31389336980198923,1.1140388500876286,0.007341421780035384,0.596,0.8457,9.56,-33.58,77.26
173,0.8271734245206864,1.2848220353618371,0.1861307865957741,0.5923,0.8419,9.07,-31.97,72.32
174,0.1536128990606348,0.9012606119176213,0.05983627793244717,0.6127,0.8699,9.96,-33.46,81.38
175,0.3649193610782525,1.4376437713514587,0.49773223629181856,0.6016,0.8544,9.1,-30.69,72.69
176,0.7721048913545856,0.4664422648811493,0.34383252458304625,0.6527,0.9325,10.28,-31.12,84.73
177,0.7054063654840127,0.5817625427454747,0.3204443172930797,0.6457,0.9215,10.17,-31.33,83.55
178,0.010727644975676243,0.3135864879033622,0.2625441514836306,0.6589,0.9388,10.92,-32.46,91.54
179,0.16375130425829587,0.24886030181480046,0.41815214527511896,0.6718,0.9589,10.95,-31.39,91.88
180,0.9891330026836055,0.8339541420426726,0.4195348654408567,0.6344,0.9056,9.65,-30.45,78.21
181,0.9903216643262726,0.21239383285316205,0.22412280662717554,0.656,0.9385,10.46,-31.59,86.62
182,0.3925727158419199,0.12007392546927753,0.37766508639737223,0.6754,0.9656,10.99,-31.35,92.27
183,0.433779027322593,0.703990401285602,0.07533648690662009,0.6252,0.8895,10.12,-33.05,82.99
184,0.18092665223086812,1.3606554332343226,0.02232454448713944,0.5812,0.8235,9.26,-33.64,74.24
185,0.23285228494370624,0.43808899547179253,0.2450987712007932,0.6513,0.9281,10.63,-32.31,88.42
186,0.5864451730147959,0.7399349637759999,0.04205766727844101,0.6204,0.883,9.98,-33.08,81.58
187,0.24366745405571355,1.2653825771438116,0.31879435023922953,0.6035,0.8567,9.41,-31.87,75.7
188,0.6491490501342744,1.0053048830270324,0.38145150951976453,0.6235,0.8879,9.6,-31.04,77.62
189,0.058108481721447336,0.5499125773989186,0.26976371763083934,0.6456,0.9189,10.55,-32.36,87.56
190,0.338456483297326,1.2667183099307797,0.24128625429364697,0.599,0.8503,9.35,-32.21,75.14
191,0.7686275894593791,1.2780232753217535,0.25239574145174903,0.5971,0.8488,9.12,-31.65,72.8
192,0.9095522438713499,0.8806859108054709,0.42513714941686087,0.633,0.9032,9.64,-30.49,78.12
193,0.3405907955915243,0.7482254377972278,0.26570552050228885,0.6337,0.902,10.12,-32.06,83.04
194,0.10497971589607058,0.5978287600523109,0.45866883627583804,0.6535,0.9309,10.47,-31.22,86.73
195,0.6308322403647424,0.26625987365545123,0.16942781780480248,0.6539,0.9338,10.63,-32.29,88.34
196,0.19160300966269983,0.03723469769785881,0.46373022925201335,0.6851,0.9794,11.23,-31.09,94.85
197,0.4482073282568715,0.4613026086311792,0.2992385957788683,0.6531,0.9316,10.5,-31.75,86.97
198,0.0073144562930156365,0.41703315990122075,0.3515167328494463,0.6578,0.9372,10.78,-31.95,89.99
199,0.633769773069263,1.4727089213138032,0.310178854829022,0.5878,0.8347,8.9,-31.47,70.68
200,0.4775058736277328,1.1421488447760115,0.45166393598202653,0.619,0.8806,9.49,-30.83,76.52
201,0.7206959467183516,1.4448168353240693,0.3910025853690886,0.594,0.8442,8.91,-30.9,70.73
202,0.8668014382619265,0.17115610677545579,0.36620675149689386,0.6683,0.9568,10.61,-30.88,88.19
203,0.4400886995273686,0.8296557036169128,0.3270512047411784,0.6321,0.9,9.96,-31.59,81.33
204,0.9698151167055694,1.476867122147437,0.14411412274395263,0.5755,0.8175,8.7,-32.08,68.73
205,0.7337534974379162,1.124975306902903,0.1732464306565244,0.6029,0.8573,9.35,-32.15,75.16
206,0.12386977486422102,0.06142044042857964,0.3886715637645893,0.6799,0.9712,11.23,-31.6,94.93
207,0.4896997418169059,1.4783102542423894,0.23248672809682652,0.5837,0.8282,8.96,-32.09,71.24
208,0.9779169790738402,0.6173640032910899,0.3968410752799863,0.6454,0.9222,9.95,-30.59,81.25
209,0.08481927231183206,0.8331925652066459,0.4010298934928621,0.6357,0.904,10.13,-31.58,83.12
210,0.9247016672198887,1.2338746359261474,0.018485363600587112,0.5851,0.8315,9.07,-32.84,72.35
211,0.3727023413067342,0.0730477084707769,0.054641145557279,0.659,0.9405,11.04,-33.24,92.78
212,0.6753056286674841,1.0698872944675473,0.38686034137581315,0.6195,0.882,9.49,-30.98,76.52
213,0.8654565480556629,1.1091472027147649,0.40043579605331603,0.6168,0.8787,9.33,-30.68,74.95
214,0.048963709823279244,0.35180272566194787,0.3109488866876229,0.6595,0.9399,10.85,-32.14,90.79
215,0.8581253046248232,0.006750187409488684,0.2573146710581749,0.6697,0.959,10.82,-31.52,90.46
216,0.6772873993643972,0.04441093369291982,0.20067777877669396,0.6663,0.953,10.89,-32.06,91.18
217,0.8956348813836968,1.007419213283788,0.11882918168029866,0.6063,0.8628,9.43,-32.29,75.99
218,0.8527811296319127,0.5220471351142715,0.4266723355720297,0.654,0.9348,10.16,-30.54,83.47
219,0.29894365111890553,0.8854803763247234,0.19847003387391704,0.6213,0.8833,9.93,-32.5,81.06
220,0.274825050755067,1.3298363432578038,0.09379684096974567,0.5868,0.8321,9.27,-33.13,74.33
221,0.0848115912357631,0.5128904078184906,0.3588195738207838,0.6529,0.93,10.6,-31.82,88.09
222,0.8074316059762817,1.4981150551001472,0.14818102850558246,0.5757,0.8172,8.76,-32.22,69.26
223,0.4079419511312822,0.20523191704443944,0.2874359648115168,0.6659,0.9511,10.86,-31.86,90.9
224,0.9975800372629172,1.0513215151809878,0.2976064202066859,0.6135,0.8741,9.34,-31.15,75.0
225,0.392369092921794,1.3729481404283321,0.24845829806517472,0.5921,0.8403,9.17,-32.1,73.29
226,0.1343669133130615,0.5480676947987002,0.03358333442388345,0.6326,0.8997,10.49,-33.63,86.93
227,0.20197903768878156,0.026503171499868305,0.2266399582500817,0.6722,0.9599,11.22,-32.45,94.81
228,0.6345402649517972,0.5149386935683616,0.21019088575263856,0.6433,0.9176,10.29,-32.05,84.85
229,0.9592092728445759,1.1279446823623733,0.2704283184724756,0.607,0.8643,9.24,-31.35,74.04
230,0.28454087511182524,1.345495198159493,0.11754855844032974,0.5871,0.8324,9.24,-32.98,74.08
231,0.32534273051667706,1.3635972216344228,0.2647710276425362,0.5939,0.8427,9.21,-32.09,73.78
232,0.7423179494179767,0.8861171912456491,0.3267196045047476,0.6276,0.8944,9.72,-31.25,78.88
233,0.29938329151482557,0.3620580924399944,0.16124617358433263,0.6508,0.9277,10.7,-32.71,89.17
234,0.15544156408342247,1.3114715479362111,0.14162346662505704,0.591,0.8378,9.36,-32.99,75.25
235,0.5614893944143846,1.187961637712061,0.3919120546878568,0.6123,0.8708,9.37,-31.08,75.34
236,0.4383862585841929,0.7143859628800885,0.4973508744675124,0.6494,0.926,10.14,-30.6,83.27
237,0.6745974769790241,1.221957664676824,0.45127698460961596,0.6131,0.8725,9.27,-30.6,74.31
238,0.7875898362293392,0.2777690174303514,0.2810853668687861,0.6586,0.9416,10.52,-31.47,87.21
239,0.10189415731454488,0.9793831898459976,0.4776747140939055,0.6307,0.8966,9.91,-31.11,80.84
240,0.5127320643001113,0.6494587393016508,0.01792137570908159,0.6249,0.8894,10.15,-33.3,83.33
241,0.9597745223292203,0.15450402619523818,0.020539546652423468,0.6465,0.9241,10.54,-32.8,87.39
242,0.24606661150493847,0.09829565087757364,0.22755892120588117,0.6686,0.9546,11.1,-32.39,93.48
243,0.5160878012571124,0.4688549235428759,0.02548024128744303,0.6358,0.9059,10.41,-33.25,86.06
244,0.1116003682492267,0.5767565669848922,0.030264225413268064,0.6307,0.8968,10.46,-33.67,86.59
245,0.6981897256099134,0.31053081228721796,0.15103578439181925,0.6498,0.9278,10.52,-32.32,87.22
246,0.3941257771780975,0.6249144496037218,0.0008303538374002661,0.6257,0.8903,10.24,-33.53,84.32
247,0.11207037099869754,1.294146845611317,0.000616531255954067,0.5846,0.8283,9.39,-33.84,75.54
248,0.5081673558128751,0.7342530097608122,0.1665470805053189,0.6284,0.8947,10.05,-32.45,82.25
249,0.43132702014644964,1.1708717062898764,0.4206018531074782,0.6154,0.875,9.46,-31.06,76.29
250,0.26034854341525004,0.48373566145159475,0.12124142651416636,0.6414,0.9133,10.54,-32.99,87.4
251,0.47986340055106513,1.0248875364882193,0.11412643773171027,0.6071,0.8628,9.62,-32.78,77.9
252,0.33073574205486667,1.3955769263837257,0.024284644923479037,0.5785,0.8199,9.13,-33.46,72.99
253,0.4607696052395662,1.0673370623951668,0.07522700577873703,0.6023,0.8554,9.56,-33.03,77.31
254,0.047374020005481854,0.20730805745779612,0.45941159676534143,0.6758,0.9646,11.07,-31.28,93.15
255,0.009259781821123414,0.28248296221702773,0.015641756450822275,0.6469,0.9208,10.94,-33.87,91.77
256,0.11062946756220327,0.9302239299424444,0.12081945436954289,0.6143,0.8722,9.95,-33.16,81.23
257,0.5692120504306768,0.8852930741491892,0.4247176665448895,0.6341,0.9035,9.82,-30.88,79.9
258,0.004741392911873921,1.2800541890135502,0.309559543213487,0.6018,0.8534,9.49,-32.2,76.59
259,0.1627434861049576,1.159406082202926,0.42774577089529286,0.6164,0.8755,9.61,-31.33,77.77
260,0.2542634837541573,1.3781905213540213,0.2272287151493289,0.591,0.8382,9.22,-32.38,73.87
